,Climate,Growth,GDP_per_capita,Unemployment,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Airport_score,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Large_apartment,Medium_apartment,Small_apartment,Description,Poblacion,Cities
191,12.9,8%,"$29,925",6%,81.25,No hay dato,No hay dato,No hay dato,No hay dato,117,139,143,116,CZK,$29925.13,$45.00,$0.82,$26.00,$7.40,0.45,94,0.65,2,17,21,Charles University in Prague,$1100,$940,$740,"Prague, Czechia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and healthcare.
Prague is one of the top ten city matches for 11.9% of Teleport users.","1,860,800",Prague
192,99,-1%,"$54,597",5%,93.13,✔ Equal,✔ Sexual orientation and gender identity,0.54,0.07,87,68,20,17,USD,$54596.65,$73.00,$2.50,$12.00,$32.00,0.48,103,0.12,5,29,24,Brown University,$1500,$1200,$980,"Providence, Rhode Island, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","341,500",Providence
193,12.8,4%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,71,55,37,43,CAD,$44843.44,$33.00,$2.60,$70.00,$12.00,0.16,18,0.12,2,31,5,Laval University,$850,$700,$550,"Quebec, Canada, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.","767,900",Quebec
194,12.5,9%,"$11,244",6%,86.69,✔ Equal,✔ Sexual orientation and gender identity,0.88,0.12,57,91,59,37,USD,$11244.20,$56.00,$1.50,$13.00,$4.20,0.18,23,No hay dato,16,1,No hay dato,No hay dato,$620,$520,$430,"Quito, Ecuador, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.","1,544,900",Quito
195,111,13%,"$54,597",5%,67.58,Ambiguous,✖ No protections,0.83,0.07,183,142,53,38,USD,$54596.65,$47.00,$2.60,$43.00,$11.00,0.24,39,0.11,12,95,24,Duke University,$1500,$1200,$930,"Raleigh, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, education and environmental quality.
Raleigh is one of the top ten city matches for 3.4% of Teleport users.","1,317,300",Raleigh
196,13.6,6%,"$43,637",3%,92.79,✔ Equal,✔ Sexual orientation and gender identity,0.96,0.24,83,80,39,55,ISK,$43637.27,$87.00,$3.90,$120.00,$26.00,0.23,36,No hay dato,0,30,28,University of Iceland,$2600,$2100,$1600,"Reykjavik, Iceland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Reykjavik is one of the top ten city matches for 0.5% of Teleport users.","216,900",Reykjavik
197,100,5%,"$54,597",5%,70.00,✔ Equal,✖ No protections,0.72,0.05,97,98,64,28,USD,$54596.65,$29.00,$1.80,$63.00,$13.00,0.16,19,0.11,10,246,16,478.04,$1400,$1100,$920,"Richmond, Virginia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and internet access.","513,700",Richmond
198,13.1,-3%,"$23,707",10%,74.15,✔ Equal,✔ Sexual orientation and gender identity,0.62,0.21,162,110,99,136,EUR,$23706.56,$50.00,$1.20,$63.00,$7.50,0.35,68,0.13,1,19,25,University of Latvia,$710,$580,$450,"By Elizabete Laivina

Riga is a great place for young people due to its low cost of living and vibrant creative scene. It boasts excellent museums and art galleries, an active night life and close-by unspoiled nature. Riga is also an avid sports city with frequent football, basketball and ice hockey matches.
Riga is one of the top ten city matches for 1.1% of Teleport users.","990,600",Riga
199,12.5,2%,"$16,096",13%,0.60,✔ Legal,✔ Legal,✔ Legal,0.42,150,258,103,144,BRL,$16096.32,$41.00,$1.40,$61.00,$9.00,0.30,55,No hay dato,21,8,52,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),$970,$760,$560,"Rio de Janeiro is the second most populous city in Brazil, known for the beautiful scenery samba rhythms and Carnival. It is the national center for oil, mining and telecommunications, but the major economic base is in tourism and entertainment industries. With affordable rentals, friendly expat community and tropical climate, Rio is for people looking for a relaxed and welcoming environment.
Rio De Janeiro is one of the top ten city matches for 0.2% of Teleport users.","10,651,900",Rio-De-Janeiro
200,12.5,12%,"$52,183",11%,3.19,N/A,✖ No protections,0.48,No hay dato,55,68,35,45,SAR,$52183.40,$96.00,$1.20,$42.00,$7.80,0.39,79,0.10,1,35,No hay dato,King Saud University,$840,$670,$500,"Riyadh, Saudi Arabia, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.","4,206,000",Riyadh
201,61,-1%,"$54,597",5%,86.72,✔ Equal,Sexual orientation only,0.29,0.08,110,103,54,26,USD,$54596.65,$31.00,$1.70,$59.00,$12.00,0.16,18,0.12,4,26,24,University of Rochester,$1300,$1100,$810,"Rochester, New York, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in housing and healthcare.","345,300",Rochester
202,12.7,1%,"$35,486",11%,0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,77,66,84,126,EUR,$35486.17,$79.00,$1.60,$45.00,$16.00,0.80,189,0.48,1,12,26,Sapienza University of Rome,$1800,$1400,$1100,"Rome, the Eternal City, is a historic marvel with great travel connections mild Mediterranean climate and intense urban energy. Its outgoing society is known for its style, fondness for football and the world-famous restaurants and cafes that can be sampled on every corner. Rome also hosts an independent country—Vatican City—within its borders. Its long history and modern achievements make Rome one of the most visited cities in the world.","3,489,600",Rome
203,130,2%,"$47,355",6%,97.37,✔ Equal,✔ Sexual orientation and gender identity,0.66,0.21,141,165,82,25,EUR,$47354.53,$31.00,$1.40,$81.00,$17.00,0.98,237,0.65,1,4,12,531.84,$1500,$1300,$1000,"By Ander Hindremäe

Rotterdam is a multicultural hub with a modern look, low level of corruption, an advanced public transport system and superb network of bike-paths. While less touristy than some of its neighboring Dutch cities, Rotterdam hosts the largest port in Europe, making it an important transit, logistical and marine center. With its high quality of life and lively cultural scene, Rotterdam has been welcoming visitors for almost 800 years.
Rotterdam is one of the top ten city matches for 1.6% of Teleport users.","989,900",Rotterdam
204,13.3,3%,"$24,805",8%,0.16,✖ Single only,✔ Legal,✖ Not legal,0.18,140,162,150,195,RUB,$24805.49,$33.00,$1.10,$49.00,$7.30,0.50,109,0.67,25,9,21,Saint Petersburg State University,$930,$720,$510,"Saint Petersburg, Russia, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Saint Petersburg is one of the top ten city matches for 0.4% of Teleport users.","9,148,000",Saint-Petersburg
205,125,6%,"$54,597",5%,92.97,✔ Equal,✔ Sexual orientation and gender identity,0.77,0.07,137,116,57,15,USD,$54596.65,$27.00,$3.10,$90.00,$11.00,0.43,91,0.11,12,130,24,University of Utah,$1500,$1200,$940,"Salt Lake City, Utah, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in venture capital, healthcare and internet access.
Salt Lake City is one of the top ten city matches for 2.4% of Teleport users.","1,385,100",Salt-Lake-City
206,106,10%,"$54,597",5%,64.44,✔ Equal,✖ No protections,0.60,0.08,136,201,71,65,USD,$54596.65,$41.00,$2.60,$39.00,$12.00,0.22,35,0.11,11,123,24,University of Texas at San Antonio,$1500,$1200,$890,"San Antonio, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in cost of living, healthcare and internet access.
San Antonio is one of the top ten city matches for 0.5% of Teleport users.","1,823,400",San-Antonio
207,147,3%,"$54,597",5%,93.19,✔ Equal,✔ Sexual orientation and gender identity,0.75,0.08,250,233,94,131,USD,$54596.65,$43.00,$2.20,$67.00,$14.00,0.40,83,0.12,8,61,24,"University of California, San Diego",$2300,$1900,$1500,"San Diego, California, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, venture capital and safety.
San Diego is one of the top ten city matches for 1.4% of Teleport users.","4,233,700",San-Diego
208,298,2%,"$54,597",5%,93.19,✔ Equal,✔ Sexual orientation and gender identity,0.65,0.09,421,307,281,221,USD,$54596.65,$75.00,$2.50,$93.00,$14.00,0.51,111,0.22,8,61,24,Stanford University,$4100,$3300,$2600,"San Francisco Bay Area, California, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in startups, business freedom and healthcare.
San Francisco Bay Area is one of the top ten city matches for 6.9% of Teleport users.","10,287,800",San-Francisco-Bay-Area
209,271,3%,"$14,864",9%,77.43,✔ Equal,✔ Sexual orientation and gender identity,1.00,0.13,139,157,56,101,CRC,$14864.27,$62.00,$1.50,$40.00,$8.50,0.24,39,No hay dato,8,10,39,406.48,$940,$830,$730,"San Jose, Costa Rica, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.","1,140,100",San-Jose
210,70,-3%,14%,No hay dato,0.73,No hay dato,No hay dato,No hay dato,No hay dato,111,71,49,21,USD,No hay dato,$41.00,$2.30,$35.00,$11.00,0.28,49,No hay dato,16,22,No hay dato,No hay dato,$1200,$950,$710,"San Juan, Puerto Rico, is characterized by reasonably priced housing. This urban area is consistently ahead in leisure & culture.","581,800",San-Juan
211,337,3%,"$54,597",5%,93.19,✔ Equal,✔ Sexual orientation and gender identity,0.98,No hay dato,29,24,11,4,USD,$54596.65,$12.00,$3.40,No hay dato,$42.00,0.11,4,0.12,8,61,16,478.04,$2500,$1900,$1200,"San Luis Obispo, California, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","47,300",San-Luis-Obispo
212,12.5,-1%,"$8,021",6%,0.34,✖ Illegal,✔ Legal,"✖ Unrecognized, same-sex marriage and civil unions banned",0.13,53,78,30,38,USD,$8020.62,$30.00,$1.30,$25.00,$5.10,0.21,32,No hay dato,46,6,No hay dato,No hay dato,$730,$580,$430,"San Salvador, El Salvador, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living.","1,436,700",San-Salvador
213,12.5,7%,"$22,971",7%,0.68,✖ Single only,✔ Legal,✔ Civil unions,0.19,91,138,60,196,CLP,$22971.44,$54.00,$1.70,$61.00,$8.00,0.24,40,0.27,2,11,37,Pontifical Catholic University of Chile,$910,$730,$540,"Santiago, Chile, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.
Santiago is one of the top ten city matches for 1.7% of Teleport users.","6,193,900",Santiago
214,12.5,5%,"$13,012",14%,41.72,✔ Equal,✖ No protections,0.62,0.18,62,108,29,30,DOP,$13012.18,$31.00,$2.10,$33.00,$8.20,0.20,29,No hay dato,16,5,No hay dato,55,$620,$490,$370,"Santo Domingo, Dominican Republic, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living.","4,005,300",Santo-Domingo
215,12.5,3%,"$16,096",13%,0.60,✔ Legal,✔ Legal,✔ Legal,0.42,287,354,149,307,BRL,$16096.32,$49.00,$1.40,$57.00,$9.30,0.45,96,No hay dato,21,8,52,University of São Paulo,$950,$760,$580,"Sao Paulo, Brazil, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and startups.
Sao Paulo is one of the top ten city matches for 0.4% of Teleport users.","21,382,400",Sao-Paulo
216,236,-1%,"$9,833",43%,78.59,✔ Equal,✔ Sexual orientation and gender identity,0.75,0.17,38,18,21,14,BAM,$9833.20,$33.00,$0.77,$34.00,$6.50,0.14,13,0.10,2,17,No hay dato,No hay dato,$470,$370,$260,"Sarajevo, Bosnia and Herzegovina, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Sarajevo is one of the top ten city matches for 1.9% of Teleport users.","745,100",Sarajevo
217,299.5,9%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,25,46,6,9,CAD,$44843.44,$44.00,$2.30,$69.00,$11.00,0.13,9,0.13,2,31,5,University of Saskatchewan,$1200,$1000,$800,"Saskatoon, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","199,000",Saskatoon
218,71,4%,"$54,597",5%,91.25,✔ Equal,✔ Sexual orientation and gender identity,0.68,0.10,263,251,164,132,USD,$54596.65,$55.00,$2.50,$100.00,$15.00,0.45,95,0.13,9,76,24,University of Washington,$2600,$2100,$1600,"Seattle, Washington, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, venture capital and healthcare.
Seattle is one of the top ten city matches for 3.2% of Teleport users.","3,830,300",Seattle
219,250,5%,"$35,277",4%,0.39,Married couples only,✔ Legal,✖ Unrecognized,0.10,238,215,237,149,KRW,$35277.35,$77.00,$2.70,$59.00,$7.90,0.62,139,0.62,0,1,7,Seoul National University,$1700,$1200,$740,"Seoul is a fast-paced metropolis with 24 hour facilities and expat-friendly social environment. The vibrant nightlife scene, fabulous pop culture as well as the refreshing nature can be reached by using Seoul’s affordable and reliable public transport system, which is also equipped with public wifi common to the most wired city in the world. The advanced technological environment and delicious local food combined with the low crime rate truly make it a highly attractive destination.
Seoul is one of the top ten city matches for 18.4% of Teleport users.","21,658,800",Seoul
220,129,-1%,"$33,711",20%,0.88,✔ Legal,✔ Legal,✔ Legal,0.21,81,98,50,27,EUR,$33711.41,$39.00,$1.10,$44.00,$11.00,0.28,49,0.42,1,10,22,University of Seville,$930,$760,$590,"Seville, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.","1,073,300",Seville
221,12.6,9%,"$12,880",4%,0.21,✖ Illegal,✔ Legal,✖ Not legal,0.17,104,106,180,92,CNY,$12879.85,$59.00,$0.84,$31.00,$6.20,0.77,180,0.60,0,5,8,Fudan University,$1800,$1300,$800,"Shanghai, China, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in cost of living, travel connectivity and safety.
Shanghai is one of the top ten city matches for 4.3% of Teleport users.","50,883,400",Shanghai
222,147,12%,"$82,762",2%,31.82,✖ Unequal,✖ No protections,1.00,0.07,206,247,109,157,SGD,$82762.15,$110.00,$4.40,$73.00,$10.00,0.60,134,No hay dato,0,1,1,National University of Singapore,$2800,$2300,$1900,"Singapore is the futuristic bridge between East and West. It is an attractive site for startups, offering access to capital and a highly qualified workforce. When it comes to culture, the city is a dense mix of Chinese, Indian and Malay as well as Western influences. Despite Singapore’s high urban density, it remains as one of the greenest cities in the world—nearly half of its compact land area is filled with lush greenery.
Singapore is one of the top ten city matches for 42.0% of Teleport users.","5,200,600",Singapore
223,12.7,2%,"$13,349",25%,61.30,✔ Equal,✔ Sexual orientation and gender identity,0.24,0.18,82,90,51,99,MKD,$13348.78,$30.00,$0.91,$28.00,$6.70,0.22,33,0.12,2,17,No hay dato,53,$440,$350,$260,"Skopje, Macedonia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and safety.
Skopje is one of the top ten city matches for 1.9% of Teleport users.","833,100",Skopje
224,12.7,3%,"$17,860",9%,79.88,✔ Equal,✔ Sexual orientation and gender identity,0.53,0.20,29,32,55,36,BGN,$17860.31,$27.00,$0.81,$34.00,$6.90,0.25,41,0.29,2,6,36,442.60,$540,$450,$350,"Sofia, Bulgaria, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Sofia is one of the top ten city matches for 2.6% of Teleport users.","1,345,500",Sofia
225,101,1%,"$54,597",5%,72.14,✔ Equal,✖ No protections,0.14,0.09,209,212,91,120,USD,$54596.65,$27.00,$1.90,$70.00,$12.00,0.32,61,0.19,15,76,24,Washington University in St Louis,$1300,$1000,$800,"St. Louis, Missouri, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.
St. Louis is one of the top ten city matches for 1.4% of Teleport users.","2,118,800",St-Louis
226,No hay dato,9%,"$45,986",7%,93.59,✔ Equal,✔ Sexual orientation and gender identity,0.18,0.25,128,87,76,94,SEK,$45986.38,$51.00,$2.30,$97.00,$12.00,0.56,125,0.68,1,21,19,Karolinska Institute,$2000,$1600,$1300,"Stockholm has emerged as one of Europe's innovation and entrepreneurial capitals with a vibrant start-up scene and open, tolerant society. It is also one of the cleanest cities in the world with a population of roughly 1 million residents embracing green-leaning programs and strong environmental protection. Stockholm's winter climate can be a challenge to some, but even then, very few would turn down the opportunity to spend time in this welcoming city.
Stockholm is one of the top ten city matches for 1.2% of Teleport users.","2,292,600",Stockholm
227,12.8,1%,"$45,888",4%,0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,83,101,63,37,EUR,$45888.42,$44.00,$1.10,$95.00,$12.00,0.39,80,0.80,1,30,10,University of Stuttgart,$1500,$1200,$900,"Stuttgart, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Stuttgart is one of the top ten city matches for 2.1% of Teleport users.","1,439,400",Stuttgart
228,12.6,7%,"$46,433",6%,0.79,N/A,✔ Legal,Varies by Region,0.10,141,148,76,62,AUD,$46433.30,$68.00,$4.40,$140.00,$11.00,0.41,85,0.25,1,24,16,University of Sydney,$2800,$2300,$1700,"Sydney, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, safety and healthcare.
Sydney is one of the top ten city matches for 2.1% of Teleport users.","6,811,900",Sydney
229,161,2%,"$45,854",4%,66.10,✔ Equal,✖ No protections,0.94,0.05,99,38,90,64,TWD,$45853.74,$56.00,$1.60,$48.00,$5.30,0.50,109,No hay dato,1,6,5,National Taiwan University,$1100,$820,$500,"Taipei, Taiwan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and economy.
Taipei is one of the top ten city matches for 13.9% of Teleport users.","9,299,300",Taipei
230,13.2,-5%,"$26,999",7%,75.08,✔ Equal,✔ Sexual orientation and gender identity,0.81,0.20,111,114,53,27,EUR,$26998.78,$62.00,$1.60,$27.00,$10.00,0.20,28,0.20,3,9,4,Tallinn University of Technology,$850,$710,$570,"With its stunning old town and high tech culture, Tallinn offers a unique blend of history and the modern 21st century living. It is among the most wired cities in the world, offering universal free public wifi and free public transportation for residents. The vibrant start-up scene is actively supported by the government and the city's strong tech eco-system. With low tax rates, cost of living and the seaside location, Tallinn is a truly inviting place to live.
Tallinn is one of the top ten city matches for 14.5% of Teleport users.","412,300",Tallinn
231,102,7%,"$54,597",5%,67.19,✔ Equal,✖ No protections,0.39,0.07,373,322,191,195,USD,$54596.65,$32.00,$2.10,$60.00,$13.00,0.46,98,0.12,12,98,24,University of South Florida,$1600,$1300,$1100,"Tampa Bay Area, Florida, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and internet access.
Tampa Bay Area is one of the top ten city matches for 1.2% of Teleport users.","3,287,800",Tampa-Bay-Area
232,No hay dato,6%,"$40,347",9%,77.55,✔ Equal,✔ Sexual orientation and gender identity,0.87,0.24,71,80,51,15,EUR,$40346.97,$59.00,$3.60,$62.00,$13.00,0.13,10,0.44,3,27,6,University of Tampere,$1400,$1100,$850,"Tampere, Finland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","264,700",Tampere
233,236,-6%,"$26,999",7%,75.08,✔ Equal,✔ Sexual orientation and gender identity,0.73,0.20,30,30,31,4,EUR,$26998.78,$54.00,$1.30,$17.00,$7.90,0.10,1,0.18,3,9,4,University of Tartu,$710,$570,$430,"By Merilin Jürjo

Tartu is a true student town and home to Estonia's oldest university. Its academic atmosphere and high concentration of bright minds makes it a center for innovation and entrepreneurship. With safe and tolerant environment, the city takes pride in its urban greenery, easy transit and excellent healthcare, all contributing to a high quality of life at a reasonable cost.
Tartu is one of the top ten city matches for 9.9% of Teleport users.","102,700",Tartu
234,113,2%,"$5,609",5%,47.99,✔ Equal,✖ No protections,0.76,0.20,55,48,29,22,UZS,$5609.37,$14.00,$1.10,$4.00,$16.00,0.31,57,0.24,1,2,No hay dato,No hay dato,$410,$290,$180,"Tashkent, Uzbekistan, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating.","2,030,900",Tashkent
235,12.7,-2%,"$7,653",12%,80.63,✔ Equal,✔ Sexual orientation and gender identity,0.82,0.18,58,38,36,20,GEL,$7653.03,$47.00,$0.92,$14.00,$6.80,0.18,24,0.27,2,7,No hay dato,45,$550,$420,$300,"Tbilisi, Georgia, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.
Tbilisi is one of the top ten city matches for 4.6% of Teleport users.","1,116,400",Tbilisi
236,12.6,5%,"$17,114",11%,10.42,N/A,✖ No protections,0.74,0.09,136,184,91,79,IRR,$17113.56,$35.00,$0.76,$17.00,$5.90,0.38,77,0.25,1,7,No hay dato,Sharif University of Technology,$970,$770,$570,"Tehran, Iran, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.","7,153,300",Tehran
237,287,8%,"$32,691",5%,0.40,✔ Legal,✔ Legal,✖ Foreign same-sex marriages recognized only,0.17,163,142,118,70,ILS,$32691.02,$79.00,$3.00,$62.00,$15.00,0.39,113,0.28,2,7,32,Tel Aviv University,$2000,$1600,$1200,"Tel Aviv, Israel, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in startups, business freedom and safety.
Tel Aviv is one of the top ten city matches for 0.1% of Teleport users.","2,554,100",Tel-Aviv
238,No hay dato,4%,"$47,355",6%,97.37,✔ Equal,✔ Sexual orientation and gender identity,0.71,0.21,104,119,68,18,EUR,$47354.53,$42.00,$1.40,$96.00,$18.00,0.98,237,0.62,1,4,12,531.84,$1600,$1300,$1000,"The Hague, Netherlands, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","658,200",The-Hague
239,No hay dato,-1%,"$25,859",25%,0.53,✖ Single only,✔ Legal,✔ Civil unions,0.24,108,101,48,48,EUR,$25858.77,$46.00,$1.60,$35.00,$16.00,0.29,54,0.16,2,23,35,Aristotle University of Thessaloniki,$550,$450,$350,"Thessaloniki, Greece, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and leisure & culture.","639,700",Thessaloniki
240,12.6,1%,"$37,390",3%,0.54,Ambiguous,✔ Legal,✖ Unrecognized,0.08,286,262,269,202,JPY,$37389.79,$98.00,$2.20,$80.00,$9.20,0.63,143,1.00,0,1,3,University of Tokyo,$1800,$1400,$1100,"Tokyo is one of the most vibrant and modern cities in the world. It provides a wide range of opportunities from recreational activities to job offers, and is therefore an appealing choice for people looking for a change. When it comes to food, you are spoiled with choices: there are more restaurants than you could visit in your lifetime. It is also a relatively green city, as 3.6% of Tokyo is covered by parks and forests, and, despite its size, it is still among the safest cities in the world.
Tokyo is one of the top ten city matches for 8.5% of Teleport users.","34,597,800",Tokyo
241,12.7,7%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,177,212,111,84,CAD,$44843.44,$48.00,$2.30,$110.00,$14.00,0.65,148,0.22,2,31,5,University of Toronto,$1900,$1600,$1300,"Toronto is a multicultural city in every sense of the word. Nearly half of its population are immigrants from virtually every corner of the globe. The city is internationally known as a center of finance and business as well as the film and television industry. However, there are still plenty of ways to unwind, be it hiking in the nature with breathtaking views or immersing in the local cultural scene.
Toronto is one of the top ten city matches for 39.4% of Teleport users.","7,692,000",Toronto
242,291,6%,"$40,375",10%,0.77,✔ Legal,✔ Legal,✔ Legal,0.20,58,52,31,86,EUR,$40374.53,$43.00,$1.50,$62.00,$15.00,0.27,47,0.76,3,31,19,Toulouse 1 Capitole University,$1200,$930,$670,"Toulouse, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","824,500",Toulouse
243,12.7,9%,"$11,300",15%,23.49,✔ Equal,✖ No protections,0.74,0.18,134,28,26,48,TND,$11299.94,$29.00,$0.90,$13.00,$3.40,0.32,60,0.20,33,0,49,377.83,$370,$310,$240,"Tunis, Tunisia, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.","1,229,700",Tunis
244,12.8,-1%,"$35,486",11%,0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,65,95,67,38,EUR,$35486.17,$52.00,$1.40,$43.00,$14.00,0.20,30,0.43,1,12,26,Polytechnic University of Turin,$960,$760,$560,"Turin, Italy, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in healthcare and leisure & culture.","1,472,300",Turin
245,13.4,3%,"$40,347",9%,77.55,✔ Equal,✔ Sexual orientation and gender identity,0.76,0.24,127,110,84,82,EUR,$40346.97,$64.00,$2.40,$67.00,$13.00,0.12,7,0.53,3,27,6,University of Turku,$1200,$950,$730,"Turku, Finland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, commute and safety.","224,900",Turku
246,13.3,7%,"$45,986",7%,93.59,✔ Equal,✔ Sexual orientation and gender identity,0.43,0.25,16,0.20,0.24,0.35,SEK,$45986.38,$45.00,$1.80,$90.00,$13.00,0.56,125,0.39,1,21,19,Uppsala University,$1300,$1000,$780,"Uppsala, Sweden, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","175,200",Uppsala
247,No hay dato,6%,"$47,355",6%,97.37,✔ Equal,✔ Sexual orientation and gender identity,0.71,0.21,136,129,66,16,EUR,$47354.53,$32.00,$1.20,$95.00,$18.00,0.98,237,0.63,1,4,10,Utrecht University,$1800,$1400,$1100,"Utrecht, Netherlands, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.
Utrecht is one of the top ten city matches for 3.8% of Teleport users.","578,500",Utrecht
248,91,0%,"$33,711",20%,0.88,✔ Legal,✔ Legal,✔ Legal,0.21,87,141,98,128,EUR,$33711.41,$42.00,$1.10,$56.00,$12.00,0.31,57,0.39,1,10,22,University of Valencia,$910,$790,$660,"Valencia, Spain, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.
Valencia is one of the top ten city matches for 0.9% of Teleport users.","2,077,600",Valencia
249,12.6,1%,"$33,216",5%,88.44,✔ Equal,✔ Sexual orientation and gender identity,0.61,0.18,16,32,52,7,EUR,$33215.60,$31.00,$1.70,$9.30,$64.00,0.38,76,No hay dato,2,12,No hay dato,26,$1400,$1200,$910,"Valletta, Malta, features a very safe living environment. Our data reflects that this city has a good ranking in healthcare and tolerance.","398,400",Valletta
250,199.9,7%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,191,167,104,82,CAD,$44843.44,$46.00,$3.30,$83.00,$13.00,0.42,86,0.14,2,31,5,University of British Columbia,$2100,$1700,$1300,"Vancouver is a city with high-rise buildings, picturesque mountains and easily distinguishable ethnic neighborhoods. The city ranks high in cleanliness and quality of living, but is also one of the most expensive cities in Canada. Besides forestry, Vancouver is becoming an influencer in industries like software, film and biotechnology. For those interested in being in the open air, there are plenty of opportunities from boating to mountain skiing.
Vancouver is one of the top ten city matches for 26.4% of Teleport users.","2,750,400",Vancouver
251,213.1,3%,"$44,843",7%,0.80,✔ Legal,✔ Legal,✔ Legal,0.05,62,43,9,6,CAD,$44843.44,$40.00,$2.60,$72.00,$14.00,0.18,24,0.12,2,31,5,University of Victoria,$1700,$1300,$920,"Victoria, Canada, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","307,600",Victoria
